Test_Eligibility,Users_Visit_Site,Users_Visit_Homepage,Delivery_Eligible,Users_View_Banner,Users_Click_Banner,Users_redeemed,account_tenure,platform,age,income,Converted,Orders,Delivery_Orders,Non_Click_View
Control,1,1,1,0,0,0,105,Web,21,50000,0,0,0,0
Test,1,0,0,0,0,0,107,Web,69,100000,0,0,0,0
Test,1,1,1,1,1,1,144,App,21,50000,0,0,0,0
Test,1,0,0,0,0,0,150,App,40,75000,0,0,0,0
Test,1,1,1,1,1,0,90,Web,62,75000,0,0,0,0
Test,1,0,0,0,0,0,166,App,39,50000,0,0,0,0
Test,0,0,0,0,0,0,100,App,25,75000,0,0,0,0
Test,1,1,0,0,0,0,127,App,38,75000,0,0,0,0
Control,1,1,0,0,0,0,171,App,54,25000,0,0,0,0
Test,1,0,0,0,0,0,166,App,58,75000,0,0,0,0
Test,1,1,0,0,1,0,1,App,65,75000,0,0,0,0
Control,1,1,1,0,0,0,98,Web,53,50000,0,0,0,0
Control,1,0,0,0,0,0,141,Web,47,75000,0,0,0,0
Test,1,1,1,1,1,0,161,App,46,125000,1,0,0,0
Test,0,0,0,0,0,0,45,Web,31,50000,0,2,2,0
Test,1,1,1,1,1,0,163,Web,30,100000,0,0,0,0
Control,1,0,0,0,0,0,152,App,41,75000,0,0,0,0
Test,1,1,0,0,0,0,60,Web,32,75000,0,0,0,0
Test,1,1,1,1,0,0,53,Web,49,75000,0,6,6,1
Test,1,1,0,0,0,0,19,App,60,50000,0,0,0,0
Test,1,1,0,0,0,0,146,App,39,50000,0,0,0,0
Test,1,1,1,0,0,0,120,App,58,100000,0,0,0,0
Test,1,1,0,0,0,0,125,Web,41,100000,0,0,0,0
Control,1,1,1,0,0,0,36,App,66,25000,0,9,2,0
Control,1,1,0,0,0,0,60,App,66,50000,1,0,0,0
Test,1,1,1,0,0,0,26,App,41,75000,0,0,0,0
Test,1,1,1,1,0,0,125,App,41,50000,0,0,0,1
Test,1,1,0,0,0,0,116,App,18,75000,0,0,0,0
Test,0,0,0,0,0,0,83,App,30,25000,0,0,0,0
Control,1,1,0,0,0,0,55,App,36,125000,0,0,0,0
Control,0,0,0,0,0,0,91,App,20,25000,0,0,0,0
Test,1,1,0,0,0,0,51,App,50,75000,0,5,3,0
Test,1,1,1,1,0,0,2,Web,65,100000,0,0,0,1
Test,1,1,1,1,0,0,109,Web,66,75000,0,0,0,1
Control,1,0,0,0,0,0,20,App,40,25000,0,0,0,0
Control,1,1,1,0,0,0,174,App,57,125000,0,0,0,0
Control,1,1,1,0,0,0,117,Web,23,25000,0,0,0,0
Control,0,0,0,0,0,0,22,App,58,100000,0,0,0,0
Test,1,1,1,1,0,0,29,Web,22,25000,0,0,0,1
Control,1,1,1,0,0,0,165,App,24,125000,0,9,5,0
Control,1,1,1,0,0,0,22,App,65,75000,0,0,0,0
Control,1,1,0,0,0,0,116,App,34,75000,0,0,0,0
Test,1,1,1,1,1,1,59,Web,67,100000,0,0,0,0
Control,1,0,0,0,0,0,52,Web,68,50000,0,0,0,0
Control,1,1,0,0,0,0,13,Web,22,75000,0,0,0,0
Control,1,1,0,0,0,0,57,App,53,25000,0,0,0,0
Control,1,1,1,0,0,0,97,App,21,25000,0,0,0,0
Control,1,1,1,0,0,0,64,Web,21,25000,0,0,0,0
Control,1,1,1,0,0,0,12,Web,42,100000,1,0,0,0
Control,1,1,0,0,0,0,99,Web,49,50000,0,0,0,0
Control,1,1,0,0,0,0,136,App,24,50000,0,0,0,0
Test,1,1,1,1,0,0,46,Web,42,50000,0,3,1,1
Test,1,1,1,0,0,0,119,Web,48,50000,0,0,0,0
Test,1,0,0,0,0,0,92,Web,48,75000,0,0,0,0
Control,1,1,1,0,0,0,90,Web,68,75000,0,0,0,0
Control,1,1,0,0,0,0,29,App,18,75000,0,0,0,0
Control,1,0,0,0,0,0,7,Web,34,25000,0,0,0,0
Test,1,1,1,1,1,0,148,Web,69,100000,0,0,0,0
Test,1,1,0,0,0,0,147,App,40,50000,0,0,0,0
Test,1,1,1,1,0,0,123,App,62,75000,1,5,2,1
Test,1,1,1,0,0,0,105,Web,23,125000,0,0,0,0
Control,1,1,1,0,0,0,13,App,29,75000,0,0,0,0
Test,0,0,0,0,0,0,85,App,22,50000,0,0,0,0
Control,1,1,0,0,0,0,177,Web,70,75000,0,0,0,0
Control,1,1,1,0,0,0,157,App,39,75000,1,0,0,0
Test,1,1,1,1,0,0,85,Web,28,100000,0,0,0,1
Control,1,1,1,0,0,0,57,Web,30,75000,0,0,0,0
Test,1,1,1,1,0,0,53,App,48,75000,0,0,0,1
Test,1,1,0,0,0,0,127,App,66,100000,0,0,0,0
Control,1,1,1,0,0,0,142,Web,69,50000,0,0,0,0
Control,1,1,0,0,0,0,145,Web,57,100000,0,0,0,0
Test,0,0,0,0,1,0,37,Web,41,75000,1,0,0,0
Test,0,0,0,0,0,0,106,Web,28,75000,0,0,0,0
Test,1,1,1,1,0,0,122,Web,46,125000,0,0,0,1
Test,0,0,0,0,0,0,109,Web,68,25000,1,0,0,0
Control,1,1,0,0,0,0,62,Web,48,25000,0,0,0,0
Control,1,1,0,0,0,0,137,App,29,125000,0,0,0,0
Test,1,1,1,0,0,0,150,App,18,50000,0,0,0,0
Control,0,0,0,0,0,0,79,App,33,50000,0,0,0,0
Test,1,1,0,0,0,0,164,Web,27,100000,0,0,0,0
Test,1,1,1,1,1,0,8,App,53,75000,0,0,0,0
Control,1,1,0,0,0,0,122,App,57,75000,0,0,0,0
Control,1,1,1,0,0,0,15,Web,46,25000,0,0,0,0
Control,1,1,0,0,0,0,151,Web,64,75000,0,0,0,0
Control,0,0,0,0,0,0,17,Web,18,75000,0,0,0,0
Control,1,1,1,0,0,0,166,App,18,50000,0,0,0,0
Test,1,1,1,0,0,0,33,App,28,50000,0,0,0,0
Control,1,1,1,0,0,0,51,App,70,100000,0,0,0,0
Control,1,1,1,0,0,0,9,App,43,75000,0,0,0,0
Test,1,1,1,0,1,0,26,Web,22,100000,0,0,0,0
Control,0,0,0,0,0,0,74,Web,32,25000,0,0,0,0
Test,1,1,1,0,0,0,140,App,21,75000,1,0,0,0
Test,1,0,0,0,0,0,154,Web,45,50000,0,0,0,0
Control,1,1,0,0,0,0,146,Web,47,75000,0,0,0,0
Test,1,1,1,1,0,0,37,App,63,50000,0,0,0,1
Control,1,0,0,0,0,0,57,Web,69,25000,1,0,0,0
Test,0,0,0,0,0,0,63,App,54,25000,0,4,3,0
Control,1,1,0,0,0,0,133,App,70,75000,0,0,0,0
Test,1,0,0,0,0,0,12,App,66,50000,0,0,0,0
Test,1,1,1,1,1,0,46,Web,67,75000,0,3,1,0
Test,1,1,1,1,0,0,64,App,45,50000,0,0,0,1
Control,1,1,1,0,0,0,97,App,30,25000,0,0,0,0
Control,0,0,0,0,0,0,154,Web,51,100000,0,0,0,0
Control,1,1,1,0,0,0,63,Web,20,50000,0,0,0,0
Test,1,1,1,0,0,0,85,Web,35,75000,0,0,0,0
Test,1,1,1,1,0,0,16,Web,56,50000,0,0,0,1
Test,1,1,1,1,0,0,138,Web,42,25000,0,0,0,1
Control,1,1,1,0,0,0,179,Web,33,50000,0,0,0,0
Test,1,0,0,0,0,0,85,Web,69,50000,0,0,0,0
Control,0,0,0,0,0,0,85,Web,20,25000,0,0,0,0
Control,0,0,0,0,0,0,56,Web,27,25000,0,0,0,0
Test,1,1,0,0,0,0,1,Web,46,75000,0,0,0,0
Test,1,1,1,1,0,0,21,Web,19,25000,0,0,0,1
Control,1,1,0,0,0,0,89,App,61,25000,0,0,0,0
Test,1,1,1,1,0,0,140,Web,36,100000,1,0,0,1
Test,1,1,1,1,0,0,111,App,30,50000,0,0,0,1
Test,1,1,0,0,1,0,102,App,59,25000,0,0,0,0
Control,1,1,1,0,0,0,149,Web,22,125000,0,9,2,0
Control,1,1,1,0,0,0,7,App,19,50000,0,0,0,0
Test,1,1,1,0,0,0,20,App,27,100000,0,0,0,0
Test,1,1,1,1,0,0,104,App,21,25000,0,0,0,1
Test,1,1,1,0,0,0,12,Web,54,25000,0,0,0,0
Control,0,0,0,0,0,0,43,App,55,100000,0,0,0,0
Test,0,0,0,0,1,0,70,App,43,50000,0,0,0,0
Test,1,1,1,1,0,0,171,App,60,75000,0,0,0,1
Control,1,1,1,0,0,0,180,Web,20,25000,0,0,0,0
Control,1,1,0,0,0,0,42,Web,44,75000,0,9,3,0
Control,0,0,0,0,0,0,163,App,32,25000,0,0,0,0
Control,1,1,1,0,0,0,52,App,55,25000,0,0,0,0
Test,1,1,1,1,1,0,96,App,35,100000,0,5,1,0
Test,1,1,0,0,0,0,169,Web,70,75000,0,0,0,0
Test,1,1,1,1,1,0,116,App,46,50000,0,0,0,0
Test,0,0,0,0,1,0,138,App,39,50000,0,0,0,0
Control,1,1,1,0,0,0,93,Web,68,75000,0,5,3,0
Control,1,1,1,0,0,0,25,App,33,25000,0,0,0,0
Control,0,0,0,0,0,0,24,App,44,75000,0,0,0,0
Test,1,0,0,0,0,0,118,App,67,50000,0,0,0,0
Control,1,1,1,0,0,0,3,App,47,75000,0,0,0,0
Control,1,1,1,0,0,0,156,App,23,50000,0,0,0,0
Test,0,0,0,0,1,0,8,App,66,75000,1,0,0,0
Control,1,1,0,0,0,0,53,Web,70,50000,0,0,0,0
Test,1,1,1,1,0,0,147,Web,54,50000,0,0,0,1
Test,1,1,1,0,0,0,126,App,44,100000,0,0,0,0
Control,0,0,0,0,0,0,137,App,66,75000,0,0,0,0
Control,1,1,0,0,0,0,89,Web,70,100000,0,0,0,0
Test,1,1,1,1,1,1,104,App,67,50000,0,5,0,0
Test,1,1,1,1,1,0,169,Web,36,75000,0,0,0,0
Control,1,1,1,0,0,0,124,Web,46,50000,0,0,0,0
Control,1,1,1,0,0,0,120,Web,70,75000,0,0,0,0
Control,0,0,0,0,0,0,141,App,67,75000,0,0,0,0
Test,1,1,1,1,0,0,108,Web,37,75000,0,0,0,1
Test,1,1,0,0,1,0,8,Web,59,75000,0,0,0,0
Test,1,0,0,0,0,0,18,App,62,75000,0,0,0,0
Test,1,1,0,0,1,0,55,App,33,75000,0,0,0,0
Test,1,1,1,0,0,0,39,Web,59,50000,0,0,0,0
Test,1,1,0,0,0,0,62,Web,43,125000,0,0,0,0
Control,1,1,1,0,0,0,58,App,28,25000,0,0,0,0
Test,1,1,1,1,1,0,93,Web,39,100000,0,0,0,0
Control,1,1,1,0,0,0,120,App,19,25000,1,4,5,0
Test,1,1,1,1,0,0,108,Web,49,50000,0,6,2,1
Test,1,0,0,0,0,0,12,App,60,50000,0,0,0,0
Test,1,1,1,1,1,0,27,App,67,25000,0,0,0,0
Test,0,0,0,0,1,0,53,App,18,100000,0,0,0,0
Test,1,1,0,0,0,0,5,Web,22,75000,0,4,4,0
Control,1,1,0,0,0,0,109,Web,63,50000,0,0,0,0
Control,1,0,0,0,0,0,148,Web,47,50000,0,0,0,0
Test,1,1,1,1,0,0,106,Web,34,125000,0,0,0,1
Test,1,1,0,0,0,0,177,Web,61,50000,0,0,0,0
Control,1,1,0,0,0,0,45,App,19,50000,0,0,0,0
Control,1,0,0,0,0,0,40,App,67,50000,0,0,0,0
Test,1,0,0,0,0,0,12,App,66,125000,0,0,0,0
Control,1,1,0,0,0,0,29,Web,40,100000,0,5,3,0
Control,0,0,0,0,0,0,162,Web,45,50000,0,0,0,0
Control,1,1,1,0,0,0,26,App,66,100000,0,0,0,0
Control,0,0,0,0,0,0,47,App,33,25000,0,0,0,0
Control,1,1,1,0,0,0,67,App,68,75000,0,0,0,0
Control,1,0,0,0,0,0,156,App,27,75000,0,0,0,0
Test,1,1,1,1,0,0,115,Web,70,50000,0,0,0,1
Control,1,1,0,0,0,0,53,Web,58,100000,0,0,0,0
Control,1,1,0,0,0,0,48,App,57,25000,0,0,0,0
Control,1,1,0,0,0,0,179,Web,25,100000,0,2,3,0
Control,1,1,1,0,0,0,67,App,24,25000,0,0,0,0
Test,1,1,0,0,0,0,153,Web,65,75000,0,0,0,0
Test,1,1,1,0,1,0,21,App,54,25000,0,0,0,0
Test,0,0,0,0,0,0,98,App,44,50000,0,3,2,0
Test,1,1,1,0,0,0,14,Web,63,50000,0,0,0,0
Test,1,1,0,0,0,0,49,App,24,50000,0,7,6,0
Control,1,1,0,0,0,0,140,Web,26,50000,0,0,0,0
Test,0,0,0,0,0,0,130,Web,28,50000,0,0,0,0
Control,1,1,1,0,0,0,163,App,50,75000,0,0,0,0
Control,1,1,1,0,0,0,109,App,55,50000,0,0,0,0
Test,1,0,0,0,0,0,105,App,54,100000,0,0,0,0
Test,1,1,1,1,0,0,131,App,56,50000,0,0,0,1
Control,1,1,1,0,0,0,1,Web,22,50000,0,0,0,0
Control,1,1,1,0,0,0,92,App,41,50000,0,0,0,0
Control,1,1,1,0,0,0,87,Web,68,75000,0,0,0,0
Control,1,1,1,0,0,0,43,Web,63,125000,0,0,0,0
Control,0,0,0,0,0,0,60,Web,49,75000,0,0,0,0
Control,0,0,0,0,0,0,106,Web,32,100000,0,0,0,0
Control,1,0,0,0,0,0,112,Web,44,75000,0,0,0,0
Control,1,1,1,0,0,0,121,App,21,75000,0,0,0,0
Control,1,1,1,0,0,0,129,Web,37,25000,0,0,0,0
Test,1,1,1,1,1,0,84,Web,34,75000,0,0,0,0
Control,1,1,1,0,0,0,80,Web,20,25000,0,0,0,0
Test,0,0,0,0,0,0,157,App,52,25000,0,0,0,0
Control,1,1,1,0,0,0,112,App,70,75000,0,0,0,0
Test,1,1,1,1,0,0,163,App,23,125000,0,0,0,1
Test,1,1,0,0,0,0,70,App,45,50000,0,0,0,0
Test,1,1,0,0,1,0,9,App,68,75000,0,0,0,0
Test,1,1,1,1,0,0,34,App,55,75000,0,0,0,1
Test,1,1,1,1,1,0,127,Web,52,75000,0,0,0,0
Control,1,1,1,0,0,0,154,Web,28,75000,0,12,1,0
Test,1,1,1,1,0,0,78,Web,20,75000,0,0,0,1
Test,1,1,1,1,0,0,34,App,68,25000,0,0,0,1
Test,1,1,1,1,1,0,114,App,57,75000,0,0,0,0
Control,0,0,0,0,0,0,119,Web,37,75000,0,0,0,0
Test,0,0,0,0,1,0,78,App,35,25000,0,0,0,0
Test,1,1,1,0,0,0,130,App,24,75000,0,0,0,0
Test,1,1,1,1,0,0,23,App,39,75000,0,0,0,1
Control,1,1,0,0,0,0,179,App,68,50000,0,0,0,0
Test,1,1,1,1,0,0,9,App,29,50000,0,0,0,1
Test,1,1,1,1,0,0,95,Web,69,100000,0,0,0,1
Test,1,1,0,0,0,0,99,App,65,100000,0,0,0,0
Control,1,1,0,0,0,0,131,App,56,75000,0,0,0,0
Test,0,0,0,0,0,0,96,App,34,50000,0,0,0,0
Control,1,1,0,0,0,0,151,App,39,50000,0,4,1,0
Test,1,0,0,0,0,0,70,Web,39,25000,0,0,0,0
Test,1,1,1,1,1,0,162,App,31,25000,0,4,4,0
Test,1,1,1,1,0,0,0,App,40,25000,0,0,0,1
Test,1,1,0,0,1,0,37,Web,52,75000,0,0,0,0
Test,1,1,1,0,0,0,67,App,65,125000,0,0,0,0
Test,1,1,1,1,0,0,151,Web,41,25000,1,0,0,1
Test,1,1,0,0,0,0,80,App,47,25000,0,0,0,0
Control,0,0,0,0,0,0,115,App,34,75000,0,0,0,0
Control,1,1,1,0,0,0,17,Web,31,75000,0,6,3,0
Test,1,1,0,0,1,0,19,Web,47,75000,0,0,0,0
Control,1,1,1,0,0,0,109,App,59,75000,0,0,0,0
Control,1,1,1,0,0,0,30,App,55,75000,0,0,0,0
Control,1,1,1,0,0,0,177,Web,24,75000,0,0,0,0
Test,1,1,1,1,1,1,38,Web,22,75000,0,0,0,0
Control,1,1,1,0,0,0,121,Web,56,25000,0,0,0,0
Test,1,1,0,0,0,0,160,App,23,50000,0,0,0,0
Control,1,1,0,0,0,0,90,Web,41,100000,1,0,0,0
Test,1,1,1,1,0,1,20,App,30,50000,0,0,0,1
Test,1,1,1,1,0,1,45,App,46,50000,0,0,0,1
Test,0,0,0,0,1,0,51,Web,48,50000,0,0,0,0
Test,0,0,0,0,0,0,142,App,34,25000,0,0,0,0
Control,1,1,0,0,0,0,144,App,35,25000,0,0,0,0
Test,1,1,1,0,0,0,117,Web,30,100000,0,0,0,0
Control,1,1,1,0,0,0,16,App,63,75000,0,0,0,0
Test,1,1,1,1,1,0,19,Web,22,25000,0,0,0,0
Test,1,1,0,0,0,0,121,Web,52,75000,0,0,0,0
Control,1,1,0,0,0,0,70,App,27,75000,0,0,0,0
Control,1,0,0,0,0,0,57,Web,32,50000,0,0,0,0
Test,1,1,0,0,1,0,176,App,46,50000,0,7,3,0
Test,1,0,0,0,1,0,7,Web,44,25000,0,3,3,0
Control,0,0,0,0,0,0,5,Web,63,75000,0,0,0,0
Test,1,1,1,1,0,0,16,Web,38,75000,0,0,0,1
Control,0,0,0,0,0,0,42,App,24,50000,0,0,0,0
Control,0,0,0,0,0,0,11,Web,64,25000,0,0,0,0
Test,0,0,0,0,0,0,179,App,45,25000,0,0,0,0
Test,1,1,1,1,0,0,49,Web,53,75000,0,0,0,1
Test,1,1,1,1,0,0,69,App,19,75000,0,0,0,1
Test,0,0,0,0,0,0,117,Web,68,125000,0,0,0,0
Control,0,0,0,0,0,0,174,App,56,25000,0,0,0,0
Control,1,1,1,0,0,0,50,App,60,50000,0,0,0,0
Control,1,1,0,0,0,0,25,Web,45,25000,0,0,0,0
Control,1,1,1,0,0,0,0,App,38,100000,1,0,0,0
Test,1,1,1,1,1,0,34,App,45,25000,0,0,0,0
Control,1,1,1,0,0,0,100,App,32,75000,0,0,0,0
Test,1,1,0,0,0,0,155,App,35,75000,0,0,0,0
Control,1,1,1,0,0,0,34,App,60,100000,0,0,0,0
Test,1,1,0,0,0,0,25,App,67,100000,0,0,0,0
Control,0,0,0,0,0,0,37,App,66,125000,0,0,0,0
Control,1,1,1,0,0,0,150,App,40,50000,1,0,0,0
Test,1,1,0,0,1,0,49,App,43,100000,0,0,0,0
Test,0,0,0,0,0,0,7,App,36,75000,0,0,0,0
Control,1,1,1,0,0,0,122,Web,52,125000,0,0,0,0
Test,1,1,0,0,0,0,168,App,19,25000,0,0,0,0
Control,1,0,0,0,0,0,82,App,40,75000,0,0,0,0
Control,1,1,1,0,0,0,173,Web,62,25000,0,0,0,0
Test,1,1,1,1,0,0,48,Web,63,25000,1,0,0,1
Test,1,1,0,0,0,0,17,App,55,75000,0,0,0,0
Control,1,1,0,0,0,0,26,Web,69,100000,1,0,0,0
Test,1,1,0,0,0,0,130,Web,46,75000,0,0,0,0
Test,1,1,1,0,0,0,164,App,65,75000,0,0,0,0
Control,1,1,0,0,0,0,11,Web,30,75000,0,5,4,0
Control,1,1,1,0,0,0,67,Web,50,125000,0,0,0,0
Test,0,0,0,0,0,0,166,Web,34,75000,0,0,0,0
Test,1,1,0,0,0,0,157,App,66,50000,0,0,0,0
Control,1,1,1,0,0,0,150,App,63,75000,0,0,0,0
Control,1,1,1,0,0,0,13,App,42,75000,0,0,0,0
Control,1,1,0,0,0,0,92,App,34,50000,0,0,0,0
Test,1,1,1,1,0,0,91,Web,23,25000,0,0,0,1
Control,1,0,0,0,0,0,64,Web,25,75000,0,0,0,0
Control,1,1,0,0,0,0,171,Web,45,25000,0,0,0,0
Control,1,1,1,0,0,0,68,App,70,75000,0,0,0,0
Control,1,1,0,0,0,0,4,App,51,75000,0,0,0,0
Test,1,1,1,1,1,1,164,App,50,25000,0,0,0,0
Control,1,1,0,0,0,0,37,App,65,100000,0,0,0,0
Test,1,1,1,1,0,0,111,Web,40,75000,0,0,0,1
Test,1,1,0,0,1,0,110,Web,66,50000,0,0,0,0
Control,1,1,1,0,0,0,87,Web,63,125000,0,0,0,0
Control,1,1,1,0,0,0,138,Web,31,125000,0,0,0,0
Control,1,1,1,0,0,0,58,App,24,50000,0,0,0,0
Control,1,1,1,0,0,0,99,App,38,75000,0,0,0,0
Test,0,0,0,0,1,0,126,App,18,25000,0,0,0,0
Control,1,1,0,0,0,0,127,App,54,75000,0,0,0,0
Test,1,1,1,1,0,0,173,Web,55,75000,0,0,0,1
Control,1,1,0,0,0,0,72,Web,33,50000,0,0,0,0
Test,1,0,0,0,0,0,33,Web,42,100000,0,6,4,0
Control,0,0,0,0,0,0,100,Web,23,100000,0,0,0,0
Test,1,1,1,1,0,0,17,App,62,75000,0,0,0,1
Control,1,1,0,0,0,0,158,App,66,75000,0,0,0,0
Control,0,0,0,0,0,0,180,App,66,25000,0,0,0,0
Test,1,1,1,1,0,0,78,App,57,75000,0,0,0,1
Control,1,1,1,0,0,0,71,Web,40,100000,0,0,0,0
Control,1,1,1,0,0,0,53,App,38,100000,1,0,0,0
Control,0,0,0,0,0,0,156,Web,26,75000,0,0,0,0
Control,1,1,1,0,0,0,151,App,52,75000,0,0,0,0
Test,1,1,1,1,1,0,25,App,33,50000,0,2,4,0
Test,0,0,0,0,0,0,40,Web,31,75000,0,0,0,0
Test,1,1,1,1,0,0,28,App,50,50000,0,0,0,1
Test,1,1,1,0,0,0,91,App,67,75000,0,2,6,0
Test,1,1,1,1,0,0,7,App,66,50000,0,0,0,1
Control,1,1,1,0,0,0,121,Web,51,100000,0,0,0,0
Test,0,0,0,0,0,0,155,Web,66,50000,0,0,0,0
Test,1,1,1,0,0,0,93,App,20,100000,0,0,0,0
Test,1,1,1,0,0,0,179,App,51,25000,0,0,0,0
Control,1,1,1,0,0,0,58,App,20,100000,1,0,0,0
Control,1,1,0,0,0,0,81,App,66,75000,0,0,0,0
Test,1,0,0,0,0,0,140,Web,51,50000,0,2,3,0
Control,1,1,1,0,0,0,26,App,42,50000,0,0,0,0
Test,1,0,0,0,0,0,84,Web,30,50000,0,0,0,0
Control,1,1,1,0,0,0,147,Web,70,100000,0,0,0,0
Control,0,0,0,0,0,0,176,Web,33,100000,0,0,0,0
Test,1,0,0,0,0,0,167,Web,24,75000,0,0,0,0
Control,1,1,1,0,0,0,23,Web,59,50000,0,0,0,0
Control,1,1,1,0,0,0,79,App,22,100000,0,0,0,0
Test,1,1,1,0,0,0,172,Web,55,75000,0,0,0,0
Control,0,0,0,0,0,0,99,App,43,75000,0,0,0,0
Test,0,0,0,0,0,0,21,Web,60,75000,0,0,0,0
Test,1,1,0,0,0,0,97,App,63,100000,0,0,0,0
Test,1,1,0,0,0,0,159,App,53,50000,0,0,0,0
Test,1,1,1,1,0,0,13,App,68,50000,0,0,0,1
Test,1,1,1,0,0,0,142,Web,51,50000,0,0,0,0
Control,0,0,0,0,0,0,68,App,28,50000,0,0,0,0
Test,0,0,0,0,0,0,121,Web,20,50000,0,0,0,0
Test,1,1,1,1,0,0,175,Web,62,50000,0,0,0,1
Control,1,1,0,0,0,0,145,App,38,50000,0,0,0,0
Control,1,1,1,0,0,0,10,Web,40,75000,0,0,0,0
Control,1,1,1,0,0,0,51,Web,60,25000,0,0,0,0
Control,1,1,1,0,0,0,136,Web,29,25000,0,0,0,0
Control,1,1,0,0,0,0,148,App,62,75000,0,0,0,0
Control,1,1,0,0,0,0,115,App,26,50000,0,0,0,0
Control,1,1,0,0,0,0,118,App,46,75000,0,0,0,0
Control,0,0,0,0,0,0,39,Web,52,75000,0,0,0,0
Test,1,1,1,1,0,0,133,Web,61,125000,0,0,0,1
Test,1,1,1,0,1,0,176,App,35,125000,0,0,0,0
Control,1,1,1,0,0,0,109,App,68,100000,0,0,0,0
Test,0,0,0,0,1,0,83,Web,31,75000,1,0,0,0
Test,1,1,0,0,0,0,117,Web,32,50000,0,0,0,0
Control,1,1,1,0,0,0,36,Web,25,75000,1,5,2,0
Control,0,0,0,0,0,0,2,Web,39,25000,0,0,0,0
Test,1,1,1,1,0,0,155,Web,52,100000,0,5,6,1
Control,1,1,0,0,0,0,32,Web,65,100000,0,3,7,0
Control,1,1,1,0,0,0,136,Web,26,25000,0,0,0,0
Control,0,0,0,0,0,0,142,App,34,75000,0,0,0,0
Control,1,1,0,0,0,0,20,Web,65,75000,0,0,0,0
Control,0,0,0,0,0,0,63,App,54,125000,0,0,0,0
Control,1,1,1,0,0,0,127,Web,65,25000,0,0,0,0
Test,1,1,1,1,0,0,49,App,34,25000,0,0,0,1
Control,1,1,1,0,0,0,154,App,28,25000,0,0,0,0
Control,0,0,0,0,0,0,70,Web,61,100000,0,0,0,0
Control,1,1,1,0,0,0,79,App,57,50000,0,0,0,0
Control,1,1,0,0,0,0,9,Web,45,25000,0,0,0,0
Test,1,0,0,0,0,0,68,Web,65,125000,0,0,0,0
Control,1,1,1,0,0,0,12,App,55,75000,0,0,0,0
Test,1,1,0,0,0,0,22,App,30,50000,0,0,0,0
Test,1,1,1,1,0,0,94,Web,61,25000,0,0,0,1
Test,1,1,0,0,0,0,100,App,53,50000,0,0,0,0
Test,1,1,1,1,1,0,49,App,57,50000,0,0,0,0
Control,1,1,0,0,0,0,134,Web,54,25000,0,0,0,0
Test,1,1,0,0,0,0,100,App,62,75000,0,0,0,0
Test,1,1,0,0,1,0,110,App,53,25000,0,0,0,0
Control,1,1,1,0,0,0,108,App,47,75000,0,0,0,0
Test,1,1,1,1,1,0,132,App,43,75000,0,0,0,0
Test,1,1,1,0,0,0,100,Web,27,75000,1,0,0,0
Test,1,1,1,0,1,0,71,Web,44,50000,0,0,0,0
Test,0,0,0,0,1,0,1,App,36,50000,0,0,0,0
Test,1,1,0,0,0,0,30,App,37,75000,0,0,0,0
Test,1,1,1,1,1,0,40,Web,52,25000,0,0,0,0
Control,0,0,0,0,0,0,68,App,54,75000,0,0,0,0
Test,1,1,1,1,1,0,6,Web,29,100000,0,0,0,0
Test,0,0,0,0,0,0,3,App,49,75000,0,0,0,0
Control,1,0,0,0,0,0,63,App,32,75000,0,0,0,0
Test,1,1,1,1,1,1,118,App,22,100000,0,0,0,0
Control,1,0,0,0,0,0,58,App,21,25000,1,0,0,0
Test,1,1,1,0,0,0,70,App,22,75000,1,7,2,0
Test,1,1,1,1,0,0,145,Web,26,75000,0,0,0,1
Control,1,1,1,0,0,0,127,Web,41,75000,0,0,0,0
Test,1,1,1,1,0,0,67,App,42,25000,0,0,0,1
Test,1,1,0,0,1,0,122,App,29,75000,0,0,0,0
Control,1,1,0,0,0,0,89,Web,32,75000,0,0,0,0
Test,0,0,0,0,0,0,74,Web,70,75000,0,0,0,0
Control,1,1,1,0,0,0,119,Web,70,75000,0,8,3,0
Control,1,1,1,0,0,0,149,App,37,50000,0,0,0,0
Test,0,0,0,0,1,0,131,Web,30,100000,0,0,0,0
Control,1,1,0,0,0,0,70,App,62,25000,1,0,0,0
Control,0,0,0,0,0,0,178,App,60,25000,0,0,0,0
Control,1,0,0,0,0,0,76,Web,63,50000,0,0,0,0
Control,1,1,1,0,0,0,38,App,23,50000,0,0,0,0
Control,1,1,1,0,0,0,19,Web,46,25000,0,0,0,0
Test,1,1,1,1,1,0,3,Web,67,25000,0,0,0,0
Control,0,0,0,0,0,0,108,Web,46,25000,0,0,0,0
Test,0,0,0,0,0,0,20,Web,34,25000,0,0,0,0
Test,1,1,0,0,1,0,29,App,24,75000,0,0,0,0
Control,1,1,1,0,0,0,31,App,38,75000,0,0,0,0
Test,1,0,0,0,1,0,142,App,21,25000,0,0,0,0
Control,1,1,1,0,0,0,13,Web,32,25000,0,0,0,0
Test,1,1,1,1,0,0,112,Web,57,125000,0,0,0,1
Control,1,1,1,0,0,0,118,Web,56,75000,0,0,0,0
Test,1,1,1,1,1,0,139,App,59,25000,0,0,0,0
Test,1,1,1,1,0,0,17,App,41,50000,0,0,0,1
Test,1,1,1,1,0,0,143,App,36,75000,1,0,0,1
Control,1,1,1,0,0,0,94,Web,67,25000,0,0,0,0
Test,1,1,0,0,0,0,140,Web,30,75000,0,0,0,0
